# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.758178919553756714e-01 2.492260336875915527e-01 3.096207743510603905e-03 6.400000000000000000e+01 4.900000000000000000e+01 7.290000000000000000e+02 3.489525222778320312e+01 3.668101501464843750e+01 2.580370178222656250e+02 1.758178919553756714e-01 2.492260336875915527e-01 3.096207743510603905e-03 6.400000000000000000e+01 4.900000000000000000e+01 7.290000000000000000e+02 3.489525222778320312e+01 3.668101501464843750e+01 2.580370178222656250e+02
1.000000000000000000e+03 3.571733236312866211e+00 3.639764308929443359e+00 4.123375415802001953e+00 3.706003189086914062e+01 1.952206715941429138e-02 1.865891337394714355e+00 3.326650619506835938e+01 6.873680591583251953e+00 1.117836380004882812e+01 3.571733236312866211e+00 3.639764308929443359e+00 4.123375415802001953e+00 3.706003189086914062e+01 1.952206715941429138e-02 1.865891337394714355e+00 3.326650619506835938e+01 6.873680591583251953e+00 1.117836380004882812e+01
2.000000000000000000e+03 9.084266662597656250e+00 1.881176829338073730e+00 1.285161852836608887e+00 1.684848403930664062e+01 3.219600617885589600e-01 1.481718182563781738e+00 3.269064331054687500e+01 1.584652805328369141e+01 4.635214328765869141e+00 9.084266662597656250e+00 1.881176829338073730e+00 1.285161852836608887e+00 1.684848403930664062e+01 3.219600617885589600e-01 1.481718182563781738e+00 3.269064331054687500e+01 1.584652805328369141e+01 4.635214328765869141e+00
3.000000000000000000e+03 8.682926177978515625e+00 1.918738603591918945e+00 9.398157596588134766e-01 1.385484695434570312e+01 3.889834284782409668e-01 1.478497266769409180e+00 3.286999130249023438e+01 1.831741142272949219e+01 3.035246372222900391e+00 8.682926177978515625e+00 1.918738603591918945e+00 9.398157596588134766e-01 1.385484695434570312e+01 3.889834284782409668e-01 1.478497266769409180e+00 3.286999130249023438e+01 1.831741142272949219e+01 3.035246372222900391e+00
4.000000000000000000e+03 8.431408882141113281e+00 2.035994768142700195e+00 7.827939391136169434e-01 1.195025730133056641e+01 3.886944055557250977e-01 1.362240314483642578e+00 3.261131286621093750e+01 1.917742347717285156e+01 2.532627344131469727e+00 8.431408882141113281e+00 2.035994768142700195e+00 7.827939391136169434e-01 1.195025730133056641e+01 3.886944055557250977e-01 1.362240314483642578e+00 3.261131286621093750e+01 1.917742347717285156e+01 2.532627344131469727e+00
5.000000000000000000e+03 8.154447555541992188e+00 2.190919876098632812e+00 6.157945394515991211e-01 1.032077884674072266e+01 3.786312639713287354e-01 1.286957263946533203e+00 3.246826553344726562e+01 1.968859672546386719e+01 2.043523550033569336e+00 8.154447555541992188e+00 2.190919876098632812e+00 6.157945394515991211e-01 1.032077884674072266e+01 3.786312639713287354e-01 1.286957263946533203e+00 3.246826553344726562e+01 1.968859672546386719e+01 2.043523550033569336e+00
6.000000000000000000e+03 7.797035217285156250e+00 2.385533571243286133e+00 5.083583593368530273e-01 8.855110168457031250e+00 3.655416667461395264e-01 1.175410866737365723e+00 3.217870712280273438e+01 1.994950485229492188e+01 1.788167834281921387e+00 7.797035217285156250e+00 2.385533571243286133e+00 5.083583593368530273e-01 8.855110168457031250e+00 3.655416667461395264e-01 1.175410866737365723e+00 3.217870712280273438e+01 1.994950485229492188e+01 1.788167834281921387e+00
7.000000000000000000e+03 7.276924133300781250e+00 2.655739068984985352e+00 3.817730545997619629e-01 7.457243442535400391e+00 3.473573029041290283e-01 1.047092437744140625e+00 3.172298622131347656e+01 2.002977752685546875e+01 1.695040583610534668e+00 7.276924133300781250e+00 2.655739068984985352e+00 3.817730545997619629e-01 7.457243442535400391e+00 3.473573029041290283e-01 1.047092437744140625e+00 3.172298622131347656e+01 2.002977752685546875e+01 1.695040583610534668e+00
8.000000000000000000e+03 6.203204631805419922e+00 3.567127466201782227e+00 2.872920036315917969e-01 6.063530921936035156e+00 3.316334486007690430e-01 8.568166494369506836e-01 2.976473808288574219e+01 2.017385101318359375e+01 2.258934259414672852e+00 6.203204631805419922e+00 3.567127466201782227e+00 2.872920036315917969e-01 6.063530921936035156e+00 3.316334486007690430e-01 8.568166494369506836e-01 2.976473808288574219e+01 2.017385101318359375e+01 2.258934259414672852e+00
9.000000000000000000e+03 9.811019301414489746e-01 1.968994379043579102e+00 6.304202675819396973e-01 2.053248643875122070e+00 3.363423943519592285e-01 9.572634845972061157e-02 6.476723194122314453e+00 6.219720363616943359e+00 1.222195816040039062e+01 9.811019301414489746e-01 1.968994379043579102e+00 6.304202675819396973e-01 2.053248643875122070e+00 3.363423943519592285e-01 9.572634845972061157e-02 6.476723194122314453e+00 6.219720363616943359e+00 1.222195816040039062e+01
